Setting,State,Comment,Path
Allow all trusted apps to install,Not configured,No,\Windows Components\App Package Deployment
Allow antimalware service to remain running always,Not configured,No,\Windows Components\Windows Defender Antivirus
Allow antimalware service to startup with normal priority,Not configured,No,\Windows Components\Windows Defender Antivirus
Allow applications to prevent automatic sleep (on battery),Not configured,No,\System\Power Management\Sleep Settings
Allow applications to prevent automatic sleep (plugged in),Enabled,No,\System\Power Management\Sleep Settings
Allow audio and video playback redirection,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Device and Resource Redirection
Allow audio recording redirection,Not configured,No,\Windows Components\Remote Desktop Services\Remote Desktop Session Host\Device and Resource Redirection
Allow auditing events in Windows Defender Application Guard,Not configured,No,\Windows Components\Windows Defender Application Guard
Allow automatic sleep with Open Network Files (on battery),Not configured,No,\System\Power Management\Sleep Settings
Allow automatic sleep with Open Network Files (plugged in),Disabled,No,\System\Power Management\Sleep Settings
Allow Automatic Update of Speech Data,Not configured,No,\Windows Components\Speech
Allow Automatic Updates immediate installation,Not configured,No,\Windows Components\Windows Update
Allow Basic authentication,Not configured,No,\Windows Components\Windows Remote Management (WinRM)\WinRM Client
Allow Basic authentication,Not configured,No,\Windows Components\Windows Remote Management (WinRM)\WinRM Service
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow binary and script behaviors,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow BITS Peercaching,Not configured,No,\Network\Background Intelligent Transfer Service (BITS)
Allow camera and microphone access in Windows Defender Application Guard,Not configured,No,\Windows Components\Windows Defender Application Guard
Allow certificates with no extended key usage certificate attribute,Not configured,No,\Windows Components\Smart Card
Allow Clipboard History,Not configured,No,\System\OS Policies
Allow Clipboard synchronization across devices,Not configured,No,\System\OS Policies
Allow Cloud Search,Not configured,No,\Windows Components\Search
Allow companion device for secondary authentication,Not configured,No,\Windows Components\Microsoft Secondary Authentication Factor
Allow Corporate redirection of Customer Experience Improvement uploads,Not configured,No,\Windows Components\Windows Customer Experience Improvement Program
Allow Cortana,Disabled,No,\Windows Components\Search
Allow Cortana above lock screen,Disabled,No,\Windows Components\Search
Allow Cortana Page in OOBE on an AAD account,Not configured,No,\Windows Components\Search
Allow CredSSP authentication,Not configured,No,\Windows Components\Windows Remote Management (WinRM)\WinRM Client
Allow CredSSP authentication,Not configured,No,\Windows Components\Windows Remote Management (WinRM)\WinRM Service
Allow cross-forest user policy and roaming user profiles,Not configured,No,\System\Group Policy
Allow cryptography algorithms compatible with Windows NT 4.0,Not configured,No,\System\Net Logon
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow cut copy or paste operations from the clipboard via script,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow data persistence for Windows Defender Application Guard,Not configured,No,\Windows Components\Windows Defender Application Guard
Allow definition updates from Microsoft Update,Not configured,No,\Windows Components\Windows Defender Antivirus\Signature Updates
Allow definition updates when running on battery power,Not configured,No,\Windows Components\Windows Defender Antivirus\Signature Updates
Allow delegating default credentials,Not configured,No,\System\Credentials Delegation
Allow delegating default credentials with NTLM-only server authentication,Not configured,No,\System\Credentials Delegation
Allow delegating fresh credentials,Not configured,No,\System\Credentials Delegation
Allow delegating fresh credentials with NTLM-only server authentication,Not configured,No,\System\Credentials Delegation
Allow delegating saved credentials,Not configured,No,\System\Credentials Delegation
Allow delegating saved credentials with NTLM-only server authentication,Not configured,No,\System\Credentials Delegation
Allow deleting browsing history on exit,Not configured,No,\Windows Components\Internet Explorer\Delete Browsing History
Allow deployment operations in special profiles,Not configured,No,\Windows Components\App Package Deployment
Allow device name to be sent in Windows diagnostic data,Not configured,No,\Windows Components\Data Collection and Preview Builds
Allow devices compliant with InstantGo or HSTI to opt out of pre-boot PIN.,Not configured,No,\Windows Components\BitLocker Drive Encryption\Operating System Drives
Allow Distributed Link Tracking clients to use domain resources,Not configured,No,\System
Allow DNS suffix appending to unqualified multi-label name queries,Not configured,No,\Network\DNS Client
Allow domain users to log on using biometrics,Disabled,No,\Windows Components\Biometrics
Allow downloading updates to the Disk Failure Prediction Model,Not configured,No,\System\Storage Health
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow drag and drop or copy and paste files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow ECC certificates to be used for logon and authentication,Not configured,No,\Windows Components\Smart Card
Allow edge swipe,Disabled,No,\Windows Components\Edge UI
Allow enhanced PINs for startup,Not configured,No,\Windows Components\BitLocker Drive Encryption\Operating System Drives
Allow enumeration of emulated smart card for all users,Not configured,No,\Windows Components\Windows Hello for Business
Allow fallback to SSL 3.0 (Internet Explorer),Not configured,No,\Windows Components\Internet Explorer\Security Features
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow file downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow files to download and save to the host operating system from Windows Defender Application Guard,Not configured,No,\Windows Components\Windows Defender Application Guard
Allow First Time Application Launches if on a High Cost Windows 8 Metered Connection,Not configured,No,\System\App-V\Streaming
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow font downloads,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow hardware-accelerated rendering for Windows Defender Application Guard,Not configured,No,\Windows Components\Windows Defender Application Guard
Allow hibernate (S4) when starting from a Windows To Go workspace,Not configured,No,\Windows Components\Portable Operating System
Allow indexing of encrypted files,Not configured,No,\Windows Components\Search
Allow Install On Demand (except Internet Explorer),Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow Install On Demand (Internet Explorer),Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow installation of desktop items,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow installation of devices that match any of these device IDs,Not configured,No,\System\Device Installation\Device Installation Restrictions
Allow installation of devices using drivers that match these device setup classes,Not configured,No,\System\Device Installation\Device Installation Restrictions
Allow Integrated Unblock screen to be displayed at the time of logon,Not configured,No,\Windows Components\Smart Card
Allow Internet Explorer 8 shutdown behavior,Not configured,No,\Windows Components\Internet Explorer
Allow Internet Explorer to play media files that use alternative codecs,Not configured,No,\Windows Components\Internet Explorer\Internet Settings\Advanced settings\Multimedia
Allow Internet Explorer to use the HTTP2 network protocol,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow Internet Explorer to use the SPDY/3 network protocol,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page
Allow job name in event logs,Not configured,No,\Printers
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow loading of XAML Browser Applications,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow loading of XAML files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow loading of XPS files,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow local activation security check exemptions,Not configured,No,\System\Distributed COM\Application Compatibility Settings
Allow logon scripts when NetBIOS or WINS is disabled,Not configured,No,\System\Scripts
Allow Message Service Cloud Sync,Not configured,No,\Windows Components\Messaging
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow META REFRESH,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow Microsoft accounts to be optional,Not configured,No,\Windows Components\App runtime
Allow Microsoft services to provide enhanced suggestions as the user types in the Address bar,Not configured,No,\Windows Components\Internet Explorer
Allow native XMLHTTP support,Not configured,No,\Windows Components\Internet Explorer\Security Features\AJAX
Allow NetBT queries for fully qualified domain names,Not configured,No,\Network\DNS Client
Allow network connectivity during connected-standby (on battery),Not configured,No,\System\Power Management\Sleep Settings
Allow network connectivity during connected-standby (plugged in),Enabled,No,\System\Power Management\Sleep Settings
Allow network unlock at startup,Not configured,No,\Windows Components\BitLocker Drive Encryption\Operating System Drives
Allow non-administrators to install drivers for these device setup classes,Not configured,No,\System\Driver Installation
Allow non-administrators to receive update notifications,Disabled,No,\Windows Components\Windows Update
Allow notifications to disable definitions based reports to Microsoft MAPS,Not configured,No,\Windows Components\Windows Defender Antivirus\Signature Updates
Allow Online Tips,Not configured,No,\Control Panel
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow only approved domains to use ActiveX controls without prompt,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Intranet Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Local Machine Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Internet Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Intranet Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Local Machine Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone
Allow only approved domains to use the TDC ActiveX control,Not configured,No,\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Trusted Sites Zone
